Text,Label
show all the accounts,Inquiry
want to check my acct bal,Inquiry
what is my account balance,Inquiry
I need Credit card,Inquiry
account bal,Inquiry
account balance,Inquiry
balance in my account,Inquiry
credit card balance,Inquiry
list down my accounts,Inquiry
Could you tell me more about house loan,Inquiry
Is the Interest rate  fixed or floating?,Inquiry
make a payment,Miscellaneous
pay my monthly bill,Miscellaneous
pay now,Miscellaneous
pay prepaid bill,Miscellaneous
pay the bill on this,Miscellaneous
pay the last statement balance on,Miscellaneous
recharge my mobile,Miscellaneous
make bill payment,Miscellaneous
aasdasfsadf,Miscellaneous
Hey there,Miscellaneous
compare the products,Complaint
can i speak to someone,Complaint
speak to someone,Complaint
speak to a representative,Complaint
I need to talk to your supervisor,Complaint
I'm getting mad!,Complaint
I need to talk to your manager,Complaint
I hate this!,Complaint
you are an idiot!,Complaint
everyone hates you,Complaint
I do not like you,Complaint
thanks,Compliment
thanks a lot,Compliment
thanks for your support,Compliment
Thank you,Compliment
that is fine,Compliment
wow,Compliment
thats nice,Compliment
that is great,Compliment
great,Compliment
awesome,Compliment
thats great,Compliment
