Text_arabic,Text_english,Label
عندي بعض الاستفسارات,I have some inquiries,Inquiry
ما المقصود بفترة السماح,What is the grace period?,Inquiry
انا قدمت عندهم كله خررررررررريط,I have provided them all,Miscellaneous
خرط واكبر من خرط بعد,Lathe and greater than lathe yet,Miscellaneous
أتمنى انهم يعدلون نظام الخصم صار مبلغ الخصم كبير لفترة قصيرة,I hope they adjust the discount system. The discount amount has become large for a short time,Inquiry
قرض مع فوائد ولا دون؟,A loan with no interest or no?,Inquiry
فوائد دبل,Double benefits,Miscellaneous
أتمنى مراعاه اوقات الاعاد والمناسبات وتأجيل الاقساط تلقائيا,I hope to take into account the times of returns and events and postpone the installments automatically,Complaint
خدمة العملاء سيئة عندكم للاسف وخاصة عند الاتصال بكم,"Unfortunately, customer service is bad for you, especially when calling you",Complaint
" لوسمحت ايه هيا الشروط والاجراءت لااخذ القرض
"," What are the conditions and procedures for taking the loan?
",Inquiry
في عندكم تأجيل قسط مثلا في السنه مره,"You have to postpone a premium, for example, once a year",Complaint
عفواً توظيف اون لاين لا يعمل,"Sorry, online recruitment does not work",Complaint
هل ممكن تقديم السي في باليد بفرع البنك في أبوظبي,Is it possible to bring the CV in hand at the bank’s branch in Abu Dhabi?,Inquiry
في عندكم تأجيل قسط مثلا في السنه مره,"You have to postpone a premium, for example, once a year",Complaint
أوقات العمل في شهر رمضان,Ramadan working hours,Miscellaneous
من يومين نتصل وماشي رد,Two days ago we called and did not reply,Complaint
من متى مقدم ومحد رد عليه يرجى مراجعة الخدمات المقدمة للمواطنين او ايقافها,From when a provider and a response to it please review the services provided to citizens or stop them,Complaint
اخوي انا ادور ع شغل,"My brother, I am running a job",Miscellaneous
أنا من أبوظبي و عندي ثانوية,I am from Abu Dhabi and I have a secondary school,Miscellaneous
مرة اتصلو فيني عشان مقابلة في دبي بس عقب احلوها," Once, they called me to an interview in Dubai, but after it was nice",Miscellaneous
للأسف والله ساعات على كول سنتر ولا يردون علينا," Unfortunately, God, hours on Call Center and do not respond to us",Complaint
للأسف والله ساعات على كول سنتر ولا يردون علينا," Unfortunately, God, hours on Call Center and do not respond to us",Complaint
أرسل طولك و وزنك و أنا حساعدك تخسر وزنك الزائد,Send your height and your weight and I help you lose your extra weight,Miscellaneous
محد يرد عالرقم المجاني,No one answers the toll-free number,Complaint
ابغي تمويل سكني على البيت,I want residential financing for the home,Inquiry
هذا رقمي : 0503727717,This is my number: 0503727717,Miscellaneous
سجلت بس ما حد اتصل فيني,I just registered but someone called me,Miscellaneous
محد يرد عالرقم المجاني,No one answers the toll-free number,Complaint
في تمويل بناية ب 3 مليون,In building financing with 3 million,Inquiry
نحن شركة داتا تحليل لتحليل البيانات عبر خورزميات الذكاء الاصطناعي  نملك مجموعة اكتواريين وخبراء ماليين يتشاركوا جنبا الى جنب مع ذوي شهادات عليا في مجال الرياضيات وتعلم الآلة  نقدم خدمات تنبؤ عالية الدقة في حالة رغبتكم في التجربة سيكون اول شهر مجاني,"We are a data analysis company to analyze data via artificial intelligence algorithms. We have a group of actuaries and financial experts who, along with those with higher degrees in mathematics and machine learning, share high-precision forecasting services. If you want to experiment, it will be the first free month.",Miscellaneous
للمنشئات المالية على وجه الخصوص,For financial facilities in particular,Inquiry
يرجى التواصل محد يرد على الأرقام الموجودة,Please contact someone who answers the numbers,Miscellaneous
فارس 0508324000,Knight 0508324000,Miscellaneous
احاول الاتصال بكم لأكثر من ثلاثة أيام ولكن لا يوجد والرد الوحيد بأن الموظفين مشغولين بالرد على مكالمات أخرى؛ هل هناك اجازه في رمضان أم لاتقدمون خدمات,I have been trying to call you for more than three days but there is no single response that employees are busy answering other calls; Are there holidays in Ramadan or do you not provide services?,Complaint
الرجاء الرد على المتصلين أم يوجد عطل في النظام,Please answer the callers or the system is malfunctioning,Complaint
باقات شهريه للايكات وللانستغرام,Monthly packages for Icat and Instagram,Miscellaneous
الرجاء الرد على المتصلين أم يوجد عطل في النظام,Please answer the callers or the system is malfunctioning,Complaint
احاول اتصل على الرقم المجاني من 5 ايّام ومحد يرد ما أتوقع زحمة خطوط لانه جربت الصبح والظهر والعصر والمغرب وفليل عندي طلب ابغي اجيكه,"I am trying to call the toll-free number from 5 days, and no one wants back what I expect crowded lines because I tried morning, noon, afternoon, and Morocco. So I have a request I want to give you.",Complaint
احاول الاتصال بكم لأكثر من ثلاثة أيام ولكن لا يوجد والرد الوحيد بأن الموظفين مشغولين بالرد على مكالمات أخرى؛ هل هناك اجازه في رمضان أم لاتقدمون خدمات,I have been trying to call you for more than three days but there is no single response that employees are busy answering other calls; Are there holidays in Ramadan or do you not provide services?,Complaint
احاول اتصل على الرقم المجاني من 5 ايّام ومحد يرد ما أتوقع زحمة خطوط لانه جربت الصبح والظهر والعصر والمغرب وفليل عندي طلب ابغي اجيكه,"I am trying to call the toll-free number from 5 days, and no one wants back what I expect crowded lines because I tried morning, noon, afternoon, and Morocco. So I have a request I want to give you.",Complaint
للأسف والله ساعات على كول سنتر ولا يردون علينا," Unfortunately, God, hours on Call Center and do not respond to us",Complaint
من بدا رمضان وانا كل يوم اتصل على رقم المجاني او مباشره و محد يرد,"Whoever started Ramadan, and I call every day toll-free or directly, and someone replies",Complaint
من بدا رمضان وانا كل يوم اتصل على رقم المجاني او مباشره و محد يرد,"Whoever started Ramadan, and I call every day toll-free or directly, and someone replies",Complaint
محتاج مساعدة والدي متوفي,I need help from my dead father,Miscellaneous
مبلغ شي رحمه على والديك والله حالتنه تعبانة," The amount of something, have mercy on your parents, and God made him tired",Miscellaneous
تاج راس انتم,Crown of ye,Miscellaneous
واليوم الخامس وموظفين البداله لايوجد من يرد على المكالمات سؤالي اذا كان المصرف مغلق ولا يوجد من ينهي دفعات المقاولين ولا يوجد من يرد على المكالمات,"And on the fifth day and the exchange staff, there is no one who answers the calls. My question is if the bank is closed and there is no one to finish the contractors payments and there is no one to answer the calls",Complaint
فهل المصرف مغلق,So is the bank closed,Miscellaneous
السلام عليكم عندي رجاء في هذا الشهر الفضيل انكم تشوفون موضوعي معاملتي خذت اكثر من 4 شهور ولي احينه محد يتواصل وياي ولا يخبروني وين وصلت معاملتي اخر مره قبل 10 ايام كل الاوراق وصلتها ارجو تشوفون موضوعي باسرع وقت لاني اتصل بهم محد يرد علي,"Peace be upon you. I have my hope in this holy month that you see my topic. My treatment took more than 4 months, and I have a good time. Someone continues to contact me, and they don’t tell me where my transaction arrived last 10 days ago. All the papers and I received them.",Inquiry
كم الريت؟,How much rith?,Inquiry
أنتم تطلبون شروط لا تعد ولا تحصى للحصول على القرض بثراحة ما يسوى على الواحد يقدم عندكم على قرض,You are asking countless conditions for obtaining the loan with the convenience of what is equal to the one who provides you with a loan,Complaint
" حبيت استفسر بالنسبة لشراء منزل لازم القسط يكون
 كبير ما نقدر نحدده لان احس وايد"," If you want to inquire about buying a house, the installment is required
 We can greatly determine what we feel because I feel supported",
للاسف الى الآن انتظر رد منكم ولا واحد يخبرني وين موضوعي وصل,Unfortunately until now I am waiting for a response from you and no one tells me where my topic has arrived,Complaint
الرجاء إرسال رقم مسؤول للتواصل معه اذا يوجد,Please send an official number to contact him if there is one,Inquiry
انا ردو عليه بس يتكلمون انجليزي يا جماعة اتكلمو عربي عشان نفهم,"I answered him, but they speak English, group, speak Arabic, so we understand",Complaint
"محد اتصل فيني واليوم بعد اتصلت محد يرد
اسبوع من عطيتكم الرقم ومحد اتصل ","Mohd called me and the day after I called Mohd he answered
A week to give you the number and unlimited call",
هلا انا ودي حدا يتوصل معي 0503331181,Would you please contact 0503331181 with me?,Inquiry
"السلام عليكم ورحمة الله وبركاته

‏سؤال :
‏لماذا يتم وضع رقم مجاني ولا يقوم احد بالرد عليه ؟

‏هل من الممكن فتح خاصية الرسائل لاتمكن من إرسال رقم التواصل لطفاً ؟
","Peace, mercy and blessings of God

Question:
Why is there a toll free number and no one answering it?

Is it possible to open the messaging feature to not send the contact number, please?
",
خدمت الاتصال مش متعاونين وفرع ابوظبي مش متعاون يبالهم وقت لين يردون عليك بسؤال,"I contacted the network, not cooperating, and the Abu Dhabi branch did not cooperate",Complaint
حد تعامل معاهم ياجمعه وتقيمه لهم,Anyone deal with them collect and evaluate them,Miscellaneous
هل لديكم تمويل تجاري للمؤسسات ارجو تزويدنا بالتفاصيل كاملة عال واتساب رقم,"Do you have commercial financing for institutions? Please provide us with full details, high WhatsApp number",Inquiry
أرجو التواصل,Please communicate,Miscellaneous
خلهم يردون بالأول على الاتصالات,Their mind responds first to the contacts,Miscellaneous
سؤال بعد لو سمحت بالقرض ما نقدر نشتري البيت واذا بتاخذولنا البيت بتملكوه على طول ولا نتريا سنين,"Question yet, if you allow the loan, we cannot buy the house, and if we take it home, you will own it along, and we have not seen years.",Miscellaneous
ديرو بالكم,Dero is welcome,Miscellaneous
للأسف طلبي كمل مع المصرف 8 شهور وللحين ما طلعتلي الموافقة النهائية مع اني استكملت جميع الإجراءات,"Unfortunately, my request was completed with the bank for 8 months, and until the final approval did not come to me, even though I had completed all the procedures",Complaint
قدمت عدة رسائل شكوى بسبب تضرري الكبير من الموضوع,I submitted several complaint letters because of my great damage to the topic,Complaint
" ولكن للأسف لم يتم الرد علي مع العلم بأنني عندما قدمت الطلب قالولي مدة 
الاجراءات اسبوعين"," Unfortunately, I was not answered knowing that when I submitted the request, they told me for a while
The procedures are two weeks",
" تقدرون تتحققون من كلامي  رقم الملف 112255

"," You can check my words file number 112255

",
السلام عليكم زرحمة الله وبركاته انا عندي ورشة ميكانيك وكهرباء السيارات كيف ممكن استفيد منكم او انكم تفيدوني انا مواطن اماراتي والورشة في مصفح هل هو دعم او تطوير او مساعدة او نصح,"Peace, mercy and blessings of God be upon you. I have a workshop for automobile mechanics and electricity. How can I benefit from you or do you benefit me? I am an Emirati citizen and the workshop is in Mussafah. Is it support, development, assistance, or advice?",Inquiry
الخ؟,etc?,Miscellaneous
"السلام عليكم ورحمة الله وبركاته

‏سؤال :
‏لماذا يتم وضع رقم مجاني ولا يقوم احد بالرد عليه ؟

‏هل من الممكن فتح خاصية الرسائل لاتمكن من إرسال رقم التواصل لطفاً ؟
","Peace, mercy and blessings of God

Question:
Why is there a toll free number and no one answering it?

Is it possible to open the messaging feature to not send the contact number, please?
",
"السلام عليكم عندي شركة قائمة وتعمل من عام 2008
هل استطيع اخد تمويل لتطوير العمل مع العلم ان دخل الشركة الشهري يتراوي بين 45000 الى 65000 درهم وفي بعض الشهور تصل إلى 80000 درهم وبامكاني دفع شهرياً لحد 20 الف درهم لسداد التمويل ","Peace be upon you. I have an existing company and it has been operating since 2008
Can I take financing to develop the work knowing that the company's monthly income ranges between 45,000 to 65,000 dirhams and in some months it reaches 80,000 dirhams and I can pay monthly up to 20,000 dirhams to pay off the financing",
بعثت لك رقم الهاتف,I sent you the phone number,Miscellaneous
السلام عليكم الاخوة الافاضل لقد وصلتني رسالة منكم كالتالي ارجو العلم بان مجموع متأخرات أقساط قرض برنامج الشيخ زايد للإسكان هو 13112,"Peace be upon you, dear brothers. I have received a message from you as follows. Please note that the total arrears of the Sheikh Zayed housing loan installments are 13112.",Complaint
"0000 الرجاء مراجعة المصرف لسداد االمأخرات بأسرع وقت ممكن علما باني الاستقطاع يتم بشكل شهري بدون انقطاع
","0000 Please check with the bank to pay the arrears as soon as possible, knowing that the deduction is done on a monthly basis without interruption
",
شكراً على الرد,thank you for replying,Compliment
" 0557377727 أتمنى أن يتم التواصل معي في أقرب وقت ممكن لحل المشكلة
"," 0557377727 I hope that I will be contacted as soon as possible to solve the problem
",
السلام عليكم انا عندي تمويل بناء بس استفسر هل بيتم تحصيل الضريبة على دفعات المقاول,"Peace be upon you, I have constructive financing, but inquire if the tax is collected on the contractor's payments",Inquiry
السلام عليكم ممكن التواصل,"Peace be upon you, please communicate",Inquiry
"المصرف توه جديد ومحد يرد علينا!!!!
هذا كيف لو قديم وبعدين شو سالفة اضغط رقم 1!!! كم مرة بضغط؟؟؟","The bank is just new and united.
This is how if it is old, then what is it? Press No. 1 !!! How often do I press ???",
ارجو التواصل وشكراً,Please communicate and thank you,Inquiry
اذا كنت حال اخذ من عندكم تمويل بناء كيف التواصل,"If you are receiving financing from you, how to communicate",Inquiry
السلام عليكم تعطون مليون وكم تكون الفوايد وعلى كم سنة,"Peace be upon you, you give a million, and how many benefits it will be, and for how many years",Inquiry
مصرف ما عليه كلام وخدمات طيبة لكن خففوا من طلباتكم ألف ورقة وورقة تبون واتمنى من المصرف أن يقتدي ببعض المصارف يكون فيه مجال تأجيل قسط على الأقل مرة في السنة,"A bank that does not have good words and services, but they have reduced your requests by a thousand papers and papers, and I hope that the bank will follow the example of some banks in which there is room to postpone a premium at least once a year.",Complaint
مرحبا وانا بعد أحاول الاتصال ولا يتم الرد علي,"Hi, I am after trying to contact and are not answered",Complaint
والله تخبروني نبذه عنه هني احسن واذا الامور طيبة,"By God, you will tell me about him for good. If things are good",Miscellaneous
فوائدهم اكثر من بنوك لازم تكون اقل من بنك ومصارف وخفوووو من الأوراق من توقع اتقول شاري ابراج يلي على شارع زايد,"Their benefits are more than banks, they have to be less than a bank and banks, and they have less papers than I expect to say Shari Yali Towers on Zayed Street.",Compliment
وين موقعكم؟,Where is your website,Inquiry
