Text,Label
Tell me about the increasing intrest rate,inquiry
show all the accounts,inquiry
want to check my acct bal,inquiry
what is my account balance,inquiry
whats the balance on my account,inquiry
account bal,inquiry
How to login on your website ?,inquiry
Can i take loan from your portal?,inquiry
account balance,inquiry
balance in my account,inquiry
credit card balance,inquiry
list down my accounts,inquiry
make a payment,miscellaneous
pay my monthly bill,miscellaneous
pay now,miscellaneous
pay prepaid bill,miscellaneous
pay the bill on this,miscellaneous
pay the last statement balance on,miscellaneous
recharge my mobile,miscellaneous
make bill payment,miscellaneous
pay my bills,miscellaneous
compare the products,miscellaneous
representative,miscellaneous
can i speak to someone,complaint
speak to someone,complaint
speak to a representative,complaint
add an account for transferring money,inquiry
add a beneficiary,inquiry
looking for a loan,inquiry
Hi,miscellaneous
Hello,miscellaneous
Hi how are you,miscellaneous
how are you,miscellaneous
Howdy,miscellaneous
what is the registration process,inquiry
how can i register myself,inquiry
how can i apply,inquiry
can you help me with the process to register,inquiry
looking to open an account,inquiry
start a relationship,miscellaneous
i want to register,inquiry
i want to apply,inquiry
how to open an account,inquiry
tx,miscellaneous
fine,compliment
bye,miscellaneous
cool,miscellaneous
cancel,miscellaneous
all right,miscellaneous
nope,miscellaneous
nothing,miscellaneous
not required,miscellaneous
ok,miscellaneous
okay,miscellaneous
okie,miscellaneous
thanks,compliment
thanks a lot,compliment
thanks for your support,compliment
Thank you,compliment
that is fine,compliment
no,miscellaneous
allright,miscellaneous
that was all,miscellaneous
thx,compliment
rest in peace,miscellaneous
RIP,miscellaneous
what were my expenses,inquiry
what were my dining expenses,miscellaneous
what are the activities on my account,inquiry
show my transactions,inquiry
provide me an account statement,inquiry
list down by recent transactions,inquiry
view my transactions,inquiry
can i have a look at my transactions,inquiry
what were my transactions,inquiry
could you give more details,inquiry
more info,miscellaneous
tell me about it,miscellaneous
Could you tell me more about it,inquiry
could you tell me more,inquiry
more information,miscellaneous
more details,miscellaneous
wow,compliment
thats nice,compliment
that is great,compliment
great,compliment
awesome,compliment
thats great,compliment
this is stupid,complaint
I need to talk to your supervisor,complaint
I'm getting mad!,complaint
I need to talk to your manager,complaint
I hate this!,complaint
you are an idiot!,complaint
everyone hates you,complaint
I do not like you,complaint
you are frustrating,complaint
Is the Interest rate  fixed or floating?,inquiry
I have not received any letter asking my confirmation,complaint
"If I Pay some Lumpsum amout ,will my EMI reduce?",inquiry
Can I select my EMI amount?,inquiry
My mobile camera not working . What to do?,miscellaneous
Can FATCA status be updated later?,inquiry
Can I avail 2 Pre-approved Loans,inquiry
Can I enter a mobile number other than the one used for downloading the app.,inquiry
Can I get credit of loan amount in Account other than mentioned on the  screen,inquiry
Why I am not able to select loan tenure below 6 month?,inquiry
Why I am not able to select loan amount below 25000?,inquiry
Which Branch do I have to go for signing the documents?,inquiry
What if I want loan for higher amount and longer duration?,inquiry
What happens if there is a spelling mistake in my name printed on Adhaar card?,inquiry
i could not find,complaint
need to block my card,inquiry
my card is stolen,inquiry
lost my card,inquiry
card is lost,inquiry
could you block my card,inquiry
freeze my card,inquiry
loss of my card,inquiry
P2P fund transfer,inquiry
fund transfer,inquiry
want to transfer money,inquiry
I want to transfer funds,inquiry
hahahah,miscellaneous
come here,miscellaneous
ccc,miscellaneous
are you a fool,miscellaneous
hashaha,miscellaneous
ajshajhds,miscellaneous
savings,miscellaneous
it is bad,miscellaneous
is the sky blue,miscellaneous
hahahaha,miscellaneous
this is red,miscellaneous
sdjhsjd,miscellaneous
buffal,miscellaneous
are you mad,complaint
where are the branches in mumbai,inquiry
i want to visit the nearest branch,inquiry
is there a branch in cochin,inquiry
branch details in India,inquiry
help me with branches in andheri,inquiry
which are the branches in US?,inquiry
Do we have a branch in new york?,inquiry
are there branches outside India,inquiry
could you give me the branch address at Andheri,inquiry
I need a credit card,inquiry
I need a cheque book,inquiry
I need a loan please,inquiry
Please tell me about loan,inquiry
Credit card required,inquiry
Debit card required,inquiry
I do not need a credit card,inquiry
"Hi,  I'm interested in SHZP , can you mail me the details for it.  Thanks",inquiry
test445645482354678235,miscellaneous
I need a car loan,inquiry
I need a home loan,inquiry
I need a personal loa,inquiry
I need a business loan,inquiry
I need some loan,inquiry
I need bike loan,inquiry
I need loan loan loan !!!!!!!!!!!!!!!!!!!!!,inquiry
I require a personal loan,inquiry
loan required  Contact : 971685698569,inquiry
"Hi,  I need details for the SHZP programme. Can you provide me the details for the same. Here is my contact number-97142253620  Thanks",inquiry
Hi  I need to know the about the loan plans and their procedures Contact : 971123456878,inquiry
I need a temporary loan.  My phone number - 971567890123  Thanks,inquiry
I need another loan. Contact - 971567890123  Thanks,inquiry
Please tell me about loan on my number:  971586896589,inquiry
Hi loan required  Contact : 598789747498120,inquiry
"Hi ,  I need the transaction details. Kindly send me the details. contact number-971236547896.  Thanks",inquiry
I need a complete year transaction statement.  Thanks,inquiry
Hi  cbfewgbfuy3wgfu cjhwbcugfuiehdkje ndhjwvfuywergbfwe 97159595959595959595959595595955,miscellaneous
I tried to contact edb since long i wanted to apply for the loan contact me on  0512345678,inquiry
"Hi,  I have lost my credit card and i want to block this one and want to renew a new one as soon as possible. Can you please help me with that. Contact number is -971501304735  thanks",inquiry
Hi Tell me about my all transactions  Contact : 9710585685965,inquiry
Hi I want to thankyou for resolving my query so quickly. Your services are very amazing. I appreciate your efforts. Thanks,compliment
"Need to update the account details  Hi ,  I need to change the address details for my account information. Plese help me with that.  Thanks",inquiry
Hi   Tell the insurance plus saving plans  Contact : 971658956895,inquiry
Thanks as i got loan in 10 mins.,compliment
Much appreciated,compliment
Hi I want to thankyou for resolving my query so quickly. Your services are very amazing. I appreciate your efforts. Thanks,compliment
"Hi ,  Great to hear from you so fast. thankyou for such quick response.  thanks",compliment
"Hi,  Great deals were provided by your bank. Thanks",compliment
I am interested in SHZP program. Give me the details for the same. her is my contact number-971532145987  thanks,inquiry
Hi  Tell about loans  COntact : 971586495865,inquiry
Hi I want to thankyou for resolving my query so quickly. Your services are very amazing. I appreciate your efforts. Thanks,compliment
Hi    Thank you so much b,compliment
hate your services. you need to improve them.,complaint
I really frustrated with the services you people serve  I dont want to be enroll in any services now onwards with EDB its very depressing to express this much of fault from EDB side,complaint
"971536214789  On Fri, Dec 20, 2019 at 4:16 PM Sunita Mandal <sunita.mandal701@gmail.com> wrote:  > Sure, here it is-032102521032510220 > > On Fri, Dec 20, 2019 at 4:15 PM <digitalsensingbank@gmail.com> wrote: > >> Hello, >> >> Please share your mobile number for tracking purposes. >> >> Kind regards, >> >> Emirates Development Bank >> >",miscellaneous
Shobhit Kumar 9878074670,miscellaneous
Hiiii         898098908889898989898989,miscellaneous
